State,Airport,OPID,A_Type,Type_ENG,Species,Damage,AC_Mass,Num_ENGS,Month,Year,Time,Height,Speed,Phase,Sky,Precip,Birds_Seen,Birds_Struck,Size
MD,KDMW,BUS,LEARJET-31,D,Unknown bird,1,2,2,2,2001,Dawn,60,160,Climb,Some Cloud,,1,1,Small
MD,KBWI,USA,B-737-200,D,Unknown bird,0,4,2,1,2001,Dawn,100,120,Approach,No Cloud,None,,11-100,Small
MD,KBWI,SWA,B-737-300,D,Unknown bird,0,4,2,1,2001,Night,2000,180,Approach,,Rain,,1,Small
MD,KBWI,SWA,B-737-300,D,Canada goose,1,4,2,12,2000,,1000,140,Approach,,,1,1,Large
MD,KBWI,SWA,B-737-700,D,White-tailed deer,1,4,2,11,2000,Night,0,120,Landing Roll,Some Cloud,None,2 to 10,1,Large
MD,KBWI,USA,B-737-200,D,Unknown bird,0,4,2,10,2000,Day,4500,230,Descent,Overcast,None,2 to 10,1,Medium
MD,KBWI,SWA,B-737-200,D,Unknown bird,0,4,2,10,2000,Night,4000,220,Descent,No Cloud,None,1,1,Medium
MD,KBWI,EIN,A-300,D,Unknown bird,0,4,2,10,2000,Night,1000,140,Approach,No Cloud,None,,1,Small
MD,KSBY,PDT,DHC8 DASH 8,C,White-tailed deer,1,3,2,10,2000,Night,0,100,Landing Roll,No Cloud,None,,1,Large
MD,KBWI,NWA,A-320,D,Unknown bird,0,4,2,10,2000,,4500,,Descent,,,,1,Medium
MD,KBWI,USA,B-737-200,D,Unknown bird,0,4,2,10,2000,Night,400,140,Approach,No Cloud,None,1,1,Small
MD,KBWI,1AWE,B-757-200,D,Unknown bird,0,4,2,10,2000,Night,,,Approach,No Cloud,None,1,1,Small
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,9,2000,Night,2000,220,Climb,No Cloud,None,,1,Small
MD,KBWI,USA,B-737-200,D,Unknown bird,0,4,2,9,2000,Night,0,150,Take-off run,Some Cloud,None,1,1,Medium
MD,KBWI,USA,B-737-200,D,Unknown bird,1,4,2,9,2000,Day,1500,215,Climb,Some Cloud,,,1,Medium
MD,KBWI,ALO,DHC8 DASH 8,C,Unknown bird,0,3,2,9,2000,Night,900,150,Approach,Some Cloud,None,1,1,Medium
MD,KSBY,PDT,DHC8 DASH 8,C,Unknown bird,0,3,2,9,2000,Night,1000,,Climb,No Cloud,None,,1,Medium
MD,KBWI,UAL,B-767-300,D,Unknown bird,0,4,2,9,2000,,,,Approach,,,1,1,Medium
MD,KBWI,AAL,B-727,D,Unknown bird,0,4,3,9,2000,Day,200,140,Approach,Overcast,None,1,1,Small
MD,KBWI,UAL,A-320,D,Unknown bird,0,4,2,9,2000,Day,500,110,Approach,No Cloud,None,2 to 10,2 to 10,Medium
MD,KBWI,ALO,DHC8 DASH 8,C,European starling,0,3,2,8,2000,Day,50,110,Approach,No Cloud,None,2 to 10,1,Small
MD,KBWI,SWA,B-737-300,D,Unknown bird,0,4,2,8,2000,Day,3500,220,Approach,No Cloud,None,1,1,Medium
MD,KBWI,BUS,BE-300 KING,C,Sparrows,0,1,2,8,2000,Day,0,80,Landing Roll,Some Cloud,None,2 to 10,2 to 10,Small
MD,KBWI,BAW,B-767,D,Unknown bird,0,4,2,8,2000,Day,,,Approach,Some Cloud,None,1,1,Medium
MD,KBWI,UAL,A-319,D,Unknown bird,0,4,2,8,2000,,,,Approach,,,,1,Medium
MD,KBWI,COA,MD-80,D,Sparrows,0,4,2,8,2000,Day,0,,Landing Roll,Some Cloud,None,1,1,Small
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,8,2000,Night,200,135,Approach,No Cloud,None,,1,Small
MD,KBWI,USA,B-737-300,D,Unknown bird,0,4,2,8,2000,Day,0,120,Landing Roll,Overcast,Rain,2 to 10,2 to 10,Small
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,8,2000,Day,0,120,Landing Roll,Overcast,None,2 to 10,1,Small
MD,KBWI,UAL,B-757-200,D,Unknown bird,0,4,2,7,2000,,0,,Take-off run,,,2 to 10,2 to 10,Medium
MD,KBWI,UAL,B-757-200,D,Mourning dove,0,4,2,7,2000,Day,100,180,Climb,Some Cloud,None,,2 to 10,Small
MD,KBWI,UAL,DC-10-30,D,Unknown bird,0,4,3,7,2000,,0,,Take-off run,,,2 to 10,2 to 10,Medium
MD,MD99,BUS,C-421,A,White-tailed deer,1,2,2,7,2000,Day,0,50,Landing Roll,No Cloud,None,2 to 10,1,Large
MD,KHGR,BUS,PA-31 NAVAJO,A,Finches,0,2,2,7,2000,Day,0,,Take-off run,No Cloud,None,,1,Small
MD,KMTN,BUS,CITATION II,D,American kestrel,0,3,2,6,2000,Day,0,60,Take-off run,Some Cloud,None,,1,Small
MD,KBWI,SWA,B-737,D,Unknown bird,0,4,2,6,2000,Day,0,,Take-off run,Some Cloud,None,,1,Medium
MD,KBWI,NWA,DC-9-30,D,Unknown bird,0,4,2,5,2000,,,,Approach,,,1,1,Medium
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,5,2000,Night,200,138,Approach,No Cloud,,1,1,Medium
